Name_1,Total_Population,Male,Female,Under_5_years,59_years,1014_years,1517_years,1824_years,2534_years,3544_years,4554_years,5564_years,6574_years,7584_years,85_years_and_older,17_years_and__younger,1864_years,65_years_and_older,"White_Alone,_not_Hispanic_or_Latino",Of_Color,Black_or_African_American,American_Indian_or_Alaskan_Native,Asian_or_Pacific_Islander,Other_Race,Two_or_More_Races,Hispanic_or_Latino_total,Foreign_born,Total_population_for_whom_disability_status_is_determined,Population_with_a_disability,Population_(5_years_and_older),English_Only,Language_other_than_English,"Speaks_English_less_than_""very_well""",Population_(1_year_and_over_in_US),Same_residence,Different_residence_in_the_U.S.,Different_residence_outside_the_U.S.,Total_housing_units,2000_or_later,19701999,19401969,1939_or_earlier,Moved_in_2010_or_later,Moved_in_20002009,Moved_in_19901999,Moved_in_19801989,Moved_in_1979_or_earlier,Vacant_housing_units_(seasonal_units_included),Occupied_housing_units,Average_household_size,Total_population_for_whom_health_insurance_coverage_status_is_determined,Population_without_health_insurance_coverage
Battle Creek-Highwood,22011.36937,10539.42327,11471.9461,592.3323691,1719.336017,1537.095334,824.7506724,430.5824703,723.5339874,282.8206524,328.0595077,114.940914,1069.051341,517.7304256,277.0434335,6404.797632,13742.74653,139.6280811,8803.973201,13207.39616,5037.87179,177.693685,4310.688439,19,1181.330033,2480.812217,5193.309116,21970.36937,2600.22791,19687.75376,12977.38831,6710.365447,3114.98857,21589.65017,16978.62234,4198.325435,412.7023909,8286.383455,341.6635905,3572.611256,3690.779135,538.292011,3359.978134,2180.616452,1137.52595,478.5315138,736.1335563,393.5978488,7892.785606,2.628658411,21970.36937,2270.486378
Greater East Side,28000.23237,13936.48978,14063.74258,1167.51203,2670.663975,2272.312788,1146.029334,1083.103329,952.782795,591.8760712,646.340969,466.9884641,1204.978247,797.3818392,173.933586,8900.857779,16923.08092,253.6168425,11362.52076,16637.7116,4077.525873,122.5861898,7419.232037,0,1158.993573,3859.373929,6651.473303,27997.23237,3440.891233,25188.38069,15487.15788,9701.222808,5300.916612,27371.25923,22085.33619,4959.439024,326.4840145,10221.08954,546.9830973,2441.754226,5791.684788,1217.968022,3381.201919,3318.742348,1311.2709,494.8113294,1055.622659,659.4403837,9561.649155,3.054144259,27997.23237,3943.251318
West Side,15358,7589,7769,487,1266,1355,565,728,446,582,252,123,708,488,365,4356,9441,248,6687,8671,2230,215,1046,103,542,4535,2644,15175,1912,14188,9399,4789,2274,15150,12271,2817,62,5802,181,845,1763,499,2132,1528,863,311,581,387,5415,2.88865638,15175,1944
Dayton's Bluff,18013.49272,9457.56935,8555.923366,745.8318972,1454.102405,1541.29789,868.4593688,709.0710556,784.5599601,733.844194,528.4192075,299.6422057,502.9589879,325.3273043,296.9661689,5487.041566,11401.19869,150.9803209,6542.714403,11470.77831,2514.845478,124.1197023,5776.908528,7,837.5791188,2210.325485,4217.146693,17844.94726,2897.061851,16390.31081,9682.293673,6708.017142,3272.486857,17742.68176,12603.26986,4899.524513,239.8873864,6252.022566,441.4694006,765.8476617,1560.713479,323.4444234,2678.205717,1637.294016,642.5323715,416.4501765,334.3971188,543.1431674,5708.879399,3.178711079,17844.94726,2720.042575
Payne-Phalen,31120.82875,15481.72093,15639.10782,1102.600423,3273.382664,2607.249471,1375.401691,1285.344609,1372.496829,1023.192389,756.4016913,604.4883721,1192.754757,538.6765328,270.7716702,9884.911205,19233.71459,224.8393235,10991.77378,20129.05497,3884.095137,358.6004228,10424.42706,0,2040.249471,3421.682875,8415.293869,30750.37421,3881.799154,28491.95137,16103.5666,12388.38478,6676.093023,30729.84778,23362.926,6964.921776,402,10605.37025,438.4942149,1888.618182,2909.385124,751.7404959,3864.119008,2962.563636,1147.418182,681.753719,920.0826446,1029.433058,9575.93719,3.340035839,30750.37421,4232.940803
North End,22848,11215,11633,1128,1820,1824,1424,963,1306,812,636,497,864,389,177,7248,14170,253,6792,16056,5148,187,7612,46,473,2590,6604,22763,3385,20668,11902,8766,5226,22296,17531,4565,200,8235.88577,559.7095837,2276.798645,2799.510165,538.7754114,3549.016457,2683.392062,703.8470474,335.9554695,443.874153,519.8005808,7716.085189,3.020584941,22763,3341
Thomas-Dale,15503.9399,7610.206868,7893.733034,785.1226492,1474.917007,1288.315617,719.007359,692.3532298,616.8319706,521.3107114,492.7542927,381.3908422,620.9472608,342.6365495,60.07767784,5119.212183,9361.066231,266.2354865,3244.097302,12259.8426,4402.986509,237.5388389,5585.425184,10,819.3483238,1204.543745,4976.467702,15456.26574,2213.718724,13866.9677,7056.174571,6810.793132,3812.502862,15225.55397,12081.03802,3081.746525,62.76941946,5268.080444,248.2422341,961.3001937,1032.079836,256.4164941,2027.267118,1542.222214,651.3377473,297.2689552,202.6115821,547.3728269,4720.707617,3.197961095,15456.26574,2427.796811
Summit-University,18296.38601,8761.691174,9534.694839,497.33125,959.1779601,1127.995056,736.219635,963.4899314,523.9156374,477.774647,483.497141,467.7277778,1157.95741,438.6401468,188.6703842,4282.912628,12228.20544,215.2605393,8867.305,9429.081013,6253.160712,168.3462477,1322.069509,6,682.075663,997.4288816,3212.718553,18011.38601,2604.768303,16836.86604,12789.65044,4047.215598,2060.702063,17942.10697,13950.70922,3926.353663,65.04407982,8000.769496,670.9806063,1476.983046,1355.785787,363.4108184,3546.888557,2505.907586,855.6094368,356.1907683,365.630907,370.5422411,7630.227254,2.264553282,18011.38601,1600.277657
West Seventh,11323.79047,5804.209122,5519.581349,45.99305556,626.0955516,520.8374801,334.8321149,234.129164,282.1417671,135.7054019,136.3151389,183.2419668,725.1392757,574.3399755,273.5888331,2079.045053,7671.677333,123.6541842,8541.752814,2782.037657,935.3947212,32.46897205,380.9365076,20.9379441,469.4640085,942.8355033,845.7011586,11148.75542,1623.581821,10726.51056,9310.180225,1416.330339,560.4732317,11167.67931,9161.301011,1971.559939,34.81835564,5695.068965,1034.040275,1269.901635,805.7532205,186.1148187,1982.340528,1989.990314,483.0988857,359.0815319,421.5917368,458.9659677,5236.102997,1.956125557,11148.75542,1047.584145
Como,16021.5164,7551.027214,8470.489181,79,934.2161499,705.1153246,562.828017,648.1412001,338.9315191,108.1681909,209.2781619,158.1487843,1089.7234,481.9121124,457.6210127,3159.705554,10832.55432,112.4657595,12679.53647,3341.979924,1206.073834,74.28463083,473.5320098,58,527.6857015,1002.403747,1216.285077,15762.96654,1216.455499,15063.97033,13478.11867,1585.851662,480.1023868,15817.19942,12697.20767,3019.303368,100.6883783,7260.883998,212.3065769,1876.074055,2642.596064,923.3505955,2388.34697,2188.513206,1083.394614,729.2677369,521.3671673,349.9943035,6910.889694,1.951106761,15762.96654,874.4425608
